item_id,item_name,item_amount,currency_id,currency_amount
84731,"Piece of Unidentified Gear",-31,1,-840
19748,"Silk Scrap",7,,
19701,"Orichalcum Ore",2,,
19729,"Thick Leather Section",5,,
19700,"Mithril Ore",16,,
19732,"Hardened Leather Section",2,,
19722,"Elder Wood Log",9,,
19725,"Ancient Wood Log",2,,
45177,"Rare Essence of Luck",2,,
45176,"Masterwork Essence of Luck",16,,
89140,"Lucent Mote",27,,
45175,"Fine Essence of Luck",25,,
2363,"Cleric's Banded Pauldrons of the Traveler",1,,
28565,"Cleric's Soft Wood Longbow of Smoldering",1,,
84329,"Elonian Pocketbow",1,,
