item_id,item_name,item_amount,currency_id,currency_amount
19748,"Silk Scrap",4,,
19745,"Gossamer Scrap",2,,
19700,"Mithril Ore",2,,
19721,"Glob of Ectoplasm",8,,
19986,"Black Lion Salvage Kit",-6,,
46681,"Glob of Dark Matter",4,,
90432,"Diviner's Mist Shard Walkers",-1,,
90847,"Diviner's Mist Shard Breeches",-1,,
90931,"Diviner's Mist Shard Epaulets",-1,,
92703,"Ice Golem's Cowl",-1,,
1641,"Brutus' Helm",-1,,
24687,"Superior Rune of the Afflicted",1,,
24560,"Superior Sigil of Earth",1,,
26860,"Adder's Hiss",-1,,
