item_id,item_name,item_amount,currency_id,currency_amount
19748,"Silk Scrap",5,1,-660
19700,"Mithril Ore",7,,
19721,"Glob of Ectoplasm",14,,
19722,"Elder Wood Log",7,,
89140,"Lucent Mote",11,,
27923,"Berserker's Iron Hammer of Battle",-1,,
28414,"Cleric's Steam Speargun of Venom",-1,,
2374,"Rampager's Conjurer Gloves of the Pack",-1,,
2363,"Cleric's Banded Pauldrons of the Traveler",-1,,
28565,"Cleric's Soft Wood Longbow of Smoldering",-1,,
84329,"Elonian Pocketbow",-1,,
45096,"Dire Banded Legs of Grenth",-1,,
26516,"Rampager's Iron Sword of Battle",-1,,
45105,"Dire Conjurer Chest of Rata Sum",-1,,
1834,"Carrion Banded Helm of the Traveler",-1,,
27903,"Berserker's Iron Hammer of Serpent Slaying",-1,,
